Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake,CountryLong,CountryShort,CityLong,CityShort
-3.409,145.697,6.4,1988,4,8,23,13,1,Papua New Guinea,PG,6R87HMRW+9R,6R87HMRW+9R
-17.192,-72.305,6.1,1988,4,12,23,19,1,Peru,PE,57J9RM5W+52,57J9RM5W+52
-58.42799999999991,-25.0659999999999,6.1,1988,4,17,5,11,1,39HPHWCM+RH,39HPHWCM+RH,39HPHWCM+RH,39HPHWCM+RH
-7.791,158.255,6.1,1988,4,25,10,10,1,Solomon Islands,SB,6R4W6753+JX,6R4W6753+JX
18.512,145.858,6.4,1988,5,4,23,47,1,Northern Mariana Islands,MP,7RC7GV65+R6,7RC7GV65+R6
-26.867,-113.268,6.3,1988,5,5,10,4,1,55584PMJ+6Q,55584PMJ+6Q,55584PMJ+6Q,55584PMJ+6Q
11.493,-85.911,6.0,1988,5,6,14,46,1,Nicaragua,NI,Rivas,Rivas
42.60099999999991,143.751,6.1,1988,5,7,1,59,1,Japan,JP,JQ22+99,JQ22+99
-13.941,166.335,6.0,1988,5,16,23,7,1,Vanuatu,VU,5VR8385M+HX,5VR8385M+HX
-11.401,170.657999999999,6.0,1988,5,17,14,25,1,5VWGHMX5+J6,5VWGHMX5+J6,5VWGHMX5+J6,5VWGHMX5+J6
-7.501,128.324999999999,6.5,1988,5,30,21,11,1,Indonesia,ID,6Q4CF8XF+HX,6Q4CF8XF+HX
-45.003,167.598999999999,6.2,1988,6,3,23,27,1,New Zealand,NZ,Southland,Southland
-15.397,167.578,6.0,1988,6,5,18,22,1,Vanuatu,VU,JH3H+65,JH3H+65
-14.994,-173.468999999999,6.1,1988,6,11,12,17,1,52Q82G4J+CC,52Q82G4J+CC,52Q82G4J+CC,52Q82G4J+CC
-10.747,165.170999999999,6.4,1988,6,12,13,39,1,Solomon Islands,SB,5VX7753C+69,5VX7753C+69
10.209,-60.55899999999991,6.0,1988,6,24,8,57,1,772X6C5R+JC,772X6C5R+JC,772X6C5R+JC,772X6C5R+JC
8.919,137.895999999999,6.3,1988,7,3,11,43,1,Micronesia,FM,6QWVWV9W+H9,6QWVWV9W+H9
-5.964,148.78,6.8,1988,7,5,20,32,1,Papua New Guinea,PG,2QPH+CX,2QPH+CX
-19.576,-175.038,6.1,1988,7,19,1,0,1,Tonga,TO,52G6CXF6+JR,52G6CXF6+JR
-6.526,152.779,6.7,1988,7,23,15,17,1,Papua New Guinea,PG,6R5JFQFH+JH,6R5JFQFH+JH
-6.081,133.667,6.7,1988,7,25,6,46,1,Indonesia,ID,6Q5MWM98+HR,6Q5MWM98+HR
18.606,145.598,6.0,1988,7,27,16,58,1,Northern Mariana Islands,MP,7RC7JH4X+95,7RC7JH4X+95
-13.112,167.050999999999,6.4,1988,7,27,21,55,1,Vanuatu,VU,5VR9V3Q2+69,5VR9V3Q2+69
44.771,149.889999999999,6.3,1988,7,30,21,7,1,8RPFQVCQ+CX,8RPFQVCQ+CX,8RPFQVCQ+CX,8RPFQVCQ+CX
25.149,95.12699999999992,7.2,1988,8,6,0,36,1,Myanmar (Burma),MM,Sagaing Region,Sagaing Region
36.46099999999991,71.043,6.1,1988,8,6,9,3,1,Afghanistan,AF,Badakhshan,Badakhshan
-10.366,160.818999999999,7.4,1988,8,10,4,38,1,Solomon Islands,SB,5VX2JRM9+JH,5VX2JRM9+JH
-14.88,167.293,6.2,1988,8,10,13,11,1,Vanuatu,VU,5VQ947CV+26,5VQ947CV+26
-7.698,107.15,6.1,1988,8,17,1,59,1,Indonesia,ID,6P49842X+QX,6P49842X+QX
26.7549999999999,86.616,6.6,1988,8,20,23,9,1,Nepal,NP,Koshi Province,Koshi Province
-15.864,-172.067,6.0,1988,8,27,16,30,1,52P94WPM+96,52P94WPM+96,52P94WPM+96,52P94WPM+96
30.245,137.431,6.1,1988,9,7,11,53,1,8Q2V6CVJ+X9,8Q2V6CVJ+X9,8Q2V6CVJ+X9,8Q2V6CVJ+X9
-1.442,-77.866,6.3,1988,9,15,18,48,1,Ecuador,EC,Pastaza,Pastaza
-3.53,150.401999999999,6.0,1988,10,4,15,37,1,Papua New Guinea,PG,6R8GFC92+XQ,6R8GFC92+XQ
-18.771,-172.414999999999,6.8,1988,10,8,4,46,1,52H96HHP+H2,52H96HHP+H2,52H96HHP+H2,52H96HHP+H2
-28.6439999999999,-177.553,6.5,1988,10,10,18,20,1,52349C4W+CR,52349C4W+CR,52349C4W+CR,52349C4W+CR
-57.29299999999991,-25.135,6.1,1988,11,1,22,31,1,39JPPV48+R2,39JPPV48+R2,39JPPV48+R2,39JPPV48+R2
13.881,-90.45,6.0,1988,11,3,14,47,1,Guatemala,GT,Santa Rosa Department,Santa Rosa Department
22.789,99.611,6.1,1988,11,6,13,3,1,China,CN,Yunnan,Yunnan
23.181,99.43899999999992,6.4,1988,11,6,13,15,1,China,CN,Yunnan,Yunnan
-22.239,175.018,6.7,1988,11,7,3,50,1,5V9QQ269+96,5V9QQ269+96,5V9QQ269+96,5V9QQ269+96
1.533,126.357,6.2,1988,11,7,23,15,1,Indonesia,ID,6QH8G9M4+6Q,6QH8G9M4+6Q
-3.527,150.12,6.6,1988,11,14,2,15,1,Papua New Guinea,PG,6R8GF4FC+52,6R8GF4FC+52
12.3989999999999,124.537,6.0,1988,11,17,6,55,1,Philippines,PH,Eastern Visayas,Eastern Visayas
-6.125,149.785,6.4,1988,11,18,19,38,1,Papua New Guinea,PG,West New Britain Province,West New Britain Province
-47.89699999999991,99.4549999999999,6.2,1988,11,25,8,35,1,4M4X4F33+6X,4M4X4F33+6X,4M4X4F33+6X,4M4X4F33+6X
-15.259,-173.525,6.3,1988,12,5,16,5,1,52P8PFRF+9X,52P8PFRF+9X,52P8PFRF+9X,52P8PFRF+9X
40.987,44.185,6.2,1988,12,7,7,41,1,Armenia,AM,Shirak Province,Shirak Province
-29.7899999999999,-177.914999999999,6.1,1988,12,16,9,57,1,5224636P+22,5224636P+22,5224636P+22,5224636P+22
-18.5889999999999,-174.559,6.4,1989,1,2,1,52,1,Tonga,TO,52H7CC6R+CC,52H7CC6R+CC
46.98599999999991,153.479,6.0,1989,1,9,13,42,1,Russia,RU,8RRMXFPH+9H,8RRMXFPH+9H
-6.151,148.947,6.4,1989,1,17,0,35,1,Papua New Guinea,PG,RWXW+JR,RWXW+JR
-41.90599999999991,79.93,6.1,1989,1,20,2,3,1,4JCX3WVJ+J2,4JCX3WVJ+J2,4JCX3WVJ+J2,4JCX3WVJ+J2
41.80599999999991,144.282,6.0,1989,1,22,22,20,1,8RH6R74J+9Q,8RH6R74J+9Q,8RH6R74J+9Q,8RH6R74J+9Q
56.20199999999991,164.375,6.2,1989,1,27,8,34,1,Russia,RU,9V86692F+QX,9V86692F+QX
-4.625,153.066,6.1,1989,2,4,22,10,1,Papua New Guinea,PG,93F8+XC,93F8+XC
2.305,126.76,6.2,1989,2,10,11,15,1,Indonesia,ID,6QJ88Q45+2X,6QJ88Q45+2X
-10.4469999999999,161.372,6.4,1989,2,14,6,20,1,Solomon Islands,SB,H93C+5Q,H93C+5Q
-56.404,-121.964,6.0,1989,2,16,16,36,1,34MWH2WP+C9,34MWH2WP+C9,34MWH2WP+C9,34MWH2WP+C9
-29.9149999999999,-177.884999999999,6.7,1989,2,25,11,26,1,522434P8+22,522434P8+22,522434P8+22,522434P8+22
2.301,128.008999999999,6.0,1989,2,27,23,39,1,Indonesia,ID,8225+CJ,8225+CJ
-13.702,34.42,6.2,1989,3,10,21,49,1,Malawi,MW,Central Region,Central Region
-17.7659999999999,-174.761,6.7,1989,3,11,5,5,1,Tonga,TO,52J766MQ+JJ,52J766MQ+JJ
-34.4789999999999,-178.394,6.0,1989,3,17,19,33,1,42Q3GJC4+C9,42Q3GJC4+C9,42Q3GJC4+C9,42Q3GJC4+C9
-19.306,169.002,6.3,1989,4,6,8,5,1,Vanuatu,VU,5VGFM2V2+JQ,5VGFM2V2+JQ
49.488,159.185,6.6,1989,4,11,3,56,1,8RXXF5QP+52,8RXXF5QP+52,8RXXF5QP+52,8RXXF5QP+52
29.9869999999999,99.19499999999992,6.2,1989,4,15,20,34,1,China,CN,Sichuan,Sichuan
57.165999999999904,121.976,6.1,1989,4,20,22,59,1,Russia,RU,Sakha Republic,Sakha Republic
30.0479999999999,99.4189999999999,6.2,1989,4,25,2,13,1,China,CN,Sichuan,Sichuan
16.773,-99.328,6.8,1989,4,25,14,29,1,Mexico,MX,Guerrero,Gro.
30.6009999999999,140.589,6.6,1989,4,27,2,20,1,8R22JH2Q+9H,8R22JH2Q+9H,8R22JH2Q+9H,8R22JH2Q+9H
30.091,99.47499999999992,6.1,1989,5,3,5,53,1,China,CN,Sichuan,Sichuan
-8.281,-71.381,6.7,1989,5,5,18,28,1,Brazil,BR,State of Acre,AC
54.305,-165.574,6.1,1989,5,19,2,21,1,United States,US,Alaska,AK
-52.341,160.568,8.2,1989,5,23,10,54,1,3VV2MH59+H5,3VV2MH59+H5,3VV2MH59+H5,3VV2MH59+H5
-45.383,167.086,6.3,1989,5,31,5,54,1,New Zealand,NZ,Southland,Southland
21.861,89.763,6.1,1989,6,12,0,4,1,Bangladesh,BD,Khulna Division,Khulna Division
31.8069999999999,137.982,6.2,1989,6,16,23,42,1,8Q3VRX4J+RQ,8Q3VRX4J+RQ,8Q3VRX4J+RQ,8Q3VRX4J+RQ
19.3587999999999,-155.083499999999,6.21,1989,6,26,3,27,1,United States,US,Hawaii,HI
-8.081,125.129,6.4,1989,7,14,20,42,1,Indonesia,ID,W49H+HJ,W49H+HJ
2.299,128.142,6.4,1989,7,22,5,2,1,Indonesia,ID,North Maluku,North Maluku
-8.048,121.384,6.3,1989,7,31,17,7,1,Indonesia,ID,6Q33X92M+QJ,6Q33X92M+QJ
-4.511,139.021999999999,6.0,1989,8,1,0,18,1,Indonesia,ID,Papua,Papua
11.884,41.81199999999991,6.1,1989,8,20,11,46,1,Ethiopia,ET,Afar,Afar
11.904,41.82399999999991,6.2,1989,8,20,19,25,1,Ethiopia,ET,Afar,Afar
11.874,41.86999999999991,6.3,1989,8,21,1,9,1,Ethiopia,ET,Afar,Afar
18.039,-105.667,6.6,1989,8,29,4,16,1,75CP28QM+J5,75CP28QM+J5,75CP28QM+J5,75CP28QM+J5
-4.219,136.667,6.0,1989,9,4,5,20,1,Indonesia,ID,Papua,Papua
55.54299999999991,-156.835,6.9,1989,9,4,13,14,1,United States,US,9375G5V8+62,9375G5V8+62
2.435,-79.76099999999991,6.0,1989,9,9,1,40,1,67J2C6PQ+2J,67J2C6PQ+2J,67J2C6PQ+2J,67J2C6PQ+2J
-35.5769999999999,-17.0629999999999,6.2,1989,9,13,11,40,1,4CP4CWFP+5R,4CP4CWFP+5R,4CP4CWFP+5R,4CP4CWFP+5R
1.644,127.322,6.0,1989,9,14,19,10,1,Indonesia,ID,6QH9J8VC+JR,6QH9J8VC+JR
40.337,51.53399999999991,6.5,1989,9,16,2,5,1,8HGH8GPM+QH,8HGH8GPM+QH,8HGH8GPM+QH,8HGH8GPM+QH
16.497,-93.671,6.6,1989,9,16,23,20,1,Mexico,MX,Chiapas,Chis.
40.203,51.749,6.1,1989,9,17,0,53,1,8HGH6P3X+6H,8HGH6P3X+6H,8HGH6P3X+6H,8HGH6P3X+6H
31.5829999999999,102.433,6.1,1989,9,22,2,25,1,China,CN,Sichuan,Sichuan
-20.355,169.276999999999,6.3,1989,9,25,14,17,1,5VFFJ7VG+XQ,5VFFJ7VG+XQ,5VFFJ7VG+XQ,5VFFJ7VG+XQ
51.314,-179.027999999999,6.1,1989,10,7,15,48,1,United States,US,Alaska,AK
51.78,171.869,6.0,1989,10,9,18,1,1,United States,US,9V3HQVJ9+2J,9V3HQVJ9+2J
37.0362,-121.8798,7.0,1989,10,18,0,4,1,United States,US,California,CA
-10.1549999999999,161.062999999999,6.1,1989,10,18,11,40,1,Solomon Islands,SB,5VX3R3V7+X5,5VX3R3V7+X5
-11.022,162.349999999999,7.0,1989,10,27,21,4,1,Solomon Islands,SB,5VW4X9H2+52,5VW4X9H2+52
39.57099999999991,143.333,6.0,1989,10,29,5,25,1,8RF5H8CM+95,8RF5H8CM+95,8RF5H8CM+95,8RF5H8CM+95
39.837,142.759999999999,7.4,1989,11,1,18,25,1,8RF4RQP5+QX,8RF4RQP5+QX,8RF4RQP5+QX,8RF4RQP5+QX
39.637,143.137,6.0,1989,11,1,18,36,1,8RF5J4PP+RR,8RF5J4PP+RR,8RF5J4PP+RR,8RF5J4PP+RR
-11.315,162.435,6.0,1989,11,6,20,52,1,Solomon Islands,SB,5VW4MCPP+22,5VW4MCPP+22
-17.76,-178.99,6.0,1989,11,16,8,39,1,Fiji,FJ,Lau,Lau
-15.808,-73.242,6.5,1989,11,29,1,0,1,Peru,PE,Arequipa,Arequipa
-7.631,-74.459,6.2,1989,12,3,14,16,1,Peru,PE,Ucayali,Ucayali
-6.436,146.383,6.4,1989,12,7,13,38,1,Papua New Guinea,PG,Morobe Province,Morobe Province
0.141,123.34,6.8,1989,12,9,20,38,1,Indonesia,ID,6QG548RQ+CX,6QG548RQ+CX
8.337,126.729,6.2,1989,12,15,18,43,1,Philippines,PH,6QW88PPH+RH,6QW88PPH+RH
8.397,126.485,6.0,1989,12,15,18,53,1,Philippines,PH,9FWP+R2,9FWP+R2
8.09399999999999,126.828,6.3,1989,12,20,0,8,1,Philippines,PH,6QW83RVH+H5,6QW83RVH+H5
60.07999999999991,-73.44499999999991,6.2,1989,12,25,14,24,1,Canada,CA,Quebec,QC
-3.406,145.966,6.6,1989,12,30,23,18,1,Papua New Guinea,PG,6R87HXV8+HC,6R87HXV8+HC
-15.397,-172.849999999999,6.4,1990,1,4,5,32,1,52P9J532+62,52P9J532+62,52P9J532+62,52P9J532+62
24.753,95.241,6.1,1990,1,9,18,51,1,Myanmar (Burma),MM,Sagaing Region,Sagaing Region
37.819,91.971,6.1,1990,1,14,3,3,1,China,CN,Qinghai,Qinghai
-29.709,-177.467,6.0,1990,1,14,21,4,1,52247GRM+95,52247GRM+95,52247GRM+95,52247GRM+95
