Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake
23.033,122.154,7.0,1972,1,25,3,41,1
-19.3829999999999,169.11,6.1,1972,1,28,1,16,1
-11.359,166.335,6.2,1972,2,14,23,29,1
-60.59799999999991,-25.6649999999999,6.1,1972,2,25,1,17,1
33.3419999999999,140.782,6.3,1972,2,29,9,22,1
-28.231,-178.345,6.2,1972,3,7,7,45,1
40.834,141.901,6.0,1972,3,19,15,57,1
-6.768,-76.787,6.1,1972,3,20,7,33,1
51.28999999999991,-179.22,6.0,1972,3,20,23,31,1
49.061,153.574,6.3,1972,3,22,10,27,1
56.14,-157.139999999999,6.0,1972,3,24,3,38,1
-3.542,150.093999999999,6.4,1972,3,25,12,15,1
43.415999999999904,146.027999999999,6.0,1972,3,25,22,59,1
-25.69,179.389,6.2,1972,3,30,5,34,1
-49.54599999999991,163.734,6.3,1972,4,1,23,51,1
-13.291,166.131,6.6,1972,4,2,21,30,1
-7.425,125.584,6.6,1972,4,4,22,43,1
28.434,52.829,6.9,1972,4,10,2,6,1
0.967,-28.286,6.4,1972,4,11,2,21,1
24.19,122.52,6.1,1972,4,17,10,49,1
-31.3569999999999,-111.063999999999,6.1,1972,4,24,1,20,1
23.638,121.551,6.9,1972,4,24,9,57,1
13.3699999999999,120.309,7.2,1972,4,25,19,30,1
-5.079,154.227,6.0,1972,4,28,23,32,1
-15.919,167.511,6.8,1972,5,4,7,48,1
35.124,23.6119999999999,6.3,1972,5,4,21,40,1
-4.162,152.678,6.6,1972,5,5,23,16,1
-53.713,-134.214,6.3,1972,5,7,22,6,1
16.599,122.29,6.9,1972,5,22,6,4,1
-17.689,-175.188999999999,6.2,1972,5,22,20,45,1
-11.023,117.059,6.3,1972,5,28,1,55,1
-30.4579999999999,-71.799,6.6,1972,6,8,18,53,1
36.229999999999905,69.671,6.1,1972,6,24,15,29,1
50.149,-129.273,6.4,1972,7,23,19,13,1
-4.639,152.297,6.0,1972,7,30,20,13,1
56.82,-135.685,7.6,1972,7,30,21,45,1
51.198999999999906,-178.119,6.2,1972,8,3,4,40,1
-11.239,162.051999999999,6.0,1972,8,4,20,1,1
-11.109,162.033999999999,6.1,1972,8,4,22,30,1
-11.23,161.928,6.1,1972,8,5,5,31,1
-11.179,162.13,6.1,1972,8,5,6,30,1
-16.6469999999999,-172.098999999999,6.0,1972,8,7,9,24,1
-5.962,152.901999999999,7.1,1972,8,17,23,44,1
-6.019,152.639999999999,6.0,1972,8,18,0,23,1
-5.19,134.054,6.1,1972,8,19,16,6,1
-21.26,-174.529,6.0,1972,8,28,18,58,1
-3.478,144.934,6.4,1972,8,30,10,29,1
29.3649999999999,130.542,6.1,1972,9,2,1,49,1
-5.552,151.276999999999,6.2,1972,9,3,6,31,1
35.9789999999999,73.417,6.3,1972,9,3,16,48,1
-11.68,166.241,6.0,1972,9,4,18,11,1
1.876,128.169,6.1,1972,9,5,17,18,1
-19.8769999999999,169.002,6.1,1972,9,5,17,30,1
-15.368,-175.673,6.1,1972,9,9,2,44,1
-20.1999999999999,168.8,6.2,1972,9,10,6,3,1
-3.243,130.763,6.0,1972,9,11,13,35,1
37.927999999999905,22.387,6.0,1972,9,13,4,13,1
-20.3709999999999,168.843999999999,6.6,1972,9,13,14,33,1
15.244,-96.2289999999999,6.0,1972,9,16,9,14,1
38.283,20.34,6.3,1972,9,17,14,7,1
19.536,-70.14799999999991,6.1,1972,9,19,1,36,1
22.331,121.197,6.2,1972,9,22,19,57,1
22.3189999999999,121.355,6.1,1972,9,23,2,14,1
-6.282,131.218999999999,6.9,1972,9,24,20,9,1
-16.468,-172.166,6.0,1972,9,27,9,1,1
7.468,123.749,6.0,1972,10,1,23,49,1
-8.587,124.917,6.3,1972,10,18,20,1,1
18.7809999999999,-106.727,6.5,1972,10,20,8,17,1
27.4439999999999,128.538,6.0,1972,10,26,17,5,1
-19.9499999999999,168.898,6.2,1972,10,27,9,23,1
-7.325,146.663999999999,6.0,1972,10,28,2,27,1
-30.216,60.688,6.1,1972,10,29,23,47,1
-6.331,154.797,6.2,1972,10,30,16,48,1
-20.0489999999999,168.839,7.0,1972,11,2,19,55,1
-8.19,112.337,6.0,1972,11,4,21,36,1
-20.164,168.878999999999,6.1,1972,11,4,23,48,1
23.885,121.581,6.1,1972,11,9,18,41,1
38.42399999999991,73.284,6.0,1972,11,12,17,56,1
