Latitude,Longitude,Magnitude,Year,Month,Day,Hour,Minute,BigEarthquake
-46.9111777055213,45.05466551206047,0.0,2014,1,21,5,16,0
-20.721922246935172,-117.58826475986542,0.0,1979,7,29,3,52,0
3.00832162277311,-145.4313853562835,0.0,1986,4,26,20,19,0
45.51000390931807,-41.26685174255044,0.0,2013,8,24,14,47,0
61.26170129410849,104.11370425661451,0.0,2012,9,11,16,6,0
4.139412178206442,-80.78641708913644,0.0,1973,9,1,10,6,0
-53.854257744357014,-55.094959932215204,0.0,2012,8,4,16,56,0
67.89360295216453,82.76153753216059,0.0,2000,4,6,3,9,0
-61.2911738116036,-90.8984035090501,0.0,1983,1,31,1,40,0
28.29666649161834,-25.636459741381884,0.0,2014,4,5,3,52,0
42.39940210847304,-84.20681326244173,0.0,1987,10,11,21,15,0
-40.0296154941817,92.29205573668841,0.0,1978,10,11,9,56,0
